"time","J1.w","J2.w","J3.w","J4.w"
0,1.0000000000000000E+001,0.0000000000000000E+000,0.0000000000000000E+000,0.0000000000000000E+000
0.0031,9.9705123076181650E+000,3.0999959855243966E-002,0.0000000000000000E+000,0.0000000000000000E+000
0.006,9.9456424754636821E+000,5.9999592620270471E-002,-5.3162914124654509E-035,0.0000000000000000E+000
0.009,9.9226443791624543E+000,8.9998458110032667E-002,-9.8608890252748161E-035,0.0000000000000000E+000
0.0121,9.9017303164195827E+000,1.2099603167991554E-001,-9.8609395410241371E-035,0.0000000000000000E+000
0.0151,9.8841609834826922E+000,1.5099203161923372E-001,-7.3954710686131658E-035,0.0000000000000000E+000
0.0181,9.8691070616855150E+000,1.8098597568988359E-001,-4.9305589299579146E-035,0.0000000000000000E+000
0.0211,9.8564363686130250E+000,2.1097743761152807E-001,-4.9305588833955352E-035,0.0000000000000000E+000
0.0241,9.8459955901397791E+000,2.4096599113910705E-001,-2.4570510259510003E-035,0.0000000000000000E+000
0.0271,9.8376116450342597E+000,2.7095121006889511E-001,-7.9009362120684030E-038,0.0000000000000000E+000
0.0301,9.8310932250170975E+000,3.0093266824455883E-001,-7.8819455418205289E-038,0.0000000000000000E+000
0.0331,9.8262324966031471E+000,3.3090993956321402E-001,-7.8819455417910011E-038,0.0000000000000000E+000
0.036,9.8229004650425953E+000,3.5988358818573934E-001,-7.8819455417909990E-038,0.0000000000000000E+000
0.039,9.8206387996757734E+000,3.8985138255063839E-001,-7.8819455417909990E-038,0.0000000000000000E+000
0.042,9.8193396350605457E+000,4.1981372632677599E-001,-7.8819455417909990E-038,0.0000000000000000E+000
0.045,9.8187489806207235E+000,4.4977019368292526E-001,-7.8819455417909990E-038,0.0000000000000000E+000
0.048,9.8186066090696560E+000,4.7972035887137626E-001,-7.8819455417909990E-038,0.0000000000000000E+000
0.051,9.8186483699789466E+000,5.0966379623398683E-001,-7.8819455417909990E-038,0.0000000000000000E+000
0.054,9.8186085381684975E+000,5.3960008020823180E-001,-7.8819455417909990E-038,0.0000000000000000E+000
0.057,9.8182221760732791E+000,5.6952878533325213E-001,-7.8819455417909990E-038,0.0000000000000000E+000
0.06,9.8172274891182809E+000,5.9944948625590044E-001,-7.8819455417909990E-038,0.0000000000000000E+000
0.063,9.8153681531951413E+000,6.2936175773678726E-001,-7.8819455417909990E-038,0.0000000000000000E+000
0.066,9.8123955935814600E+000,6.5926517465632350E-001,-7.8819455417909990E-038,0.0000000000000000E+000
0.069,9.8080711950749997E+000,6.8915931202076353E-001,-7.8819455417909990E-038,0.0000000000000000E+000
0.072,9.8021684237253357E+000,7.1904374496824475E-001,2.2813249381799429E-035,0.0000000000000000E+000
0.075,9.7944748413303167E+000,7.4891804877482571E-001,-4.2608061254875064E-037,0.0000000000000000E+000
0.078,9.7847939948164147E+000,7.7878179886052223E-001,2.3330020994465818E-035,0.0000000000000000E+000
0.081,9.7729471637326935E+000,8.0863457079534173E-001,2.4496020809706330E-035,0.0000000000000000E+000
