"time","Piston.body.r_0[1]","Piston.body.r_0[2]","Piston.body.r_0[3]","Inertia.w"
0,1.4999999999999999E-001,3.9999992500001091E-001,0.0000000000000000E+000,0.0000000000000000E+000
0.0010001,1.4999999999999999E-001,3.9999992429233355E-001,0.0000000000000000E+000,9.4195238179582592E-003
0.002,1.4999999999999999E-001,3.9999992214327595E-001,0.0000000000000000E+000,1.8925797561541311E-002
0.0030001,1.4999999999999999E-001,3.9999991847083427E-001,0.0000000000000000E+000,2.8612109807941783E-002
0.0040001,1.4999999999999999E-001,3.9999991313731365E-001,0.0000000000000000E+000,3.8566736217860227E-002
0.005,1.4999999999999999E-001,3.9999990594199497E-001,0.0000000000000000E+000,4.8883265829913571E-002
0.006,1.4999999999999999E-001,3.9999989661193158E-001,0.0000000000000000E+000,5.9660853452602823E-002
0.007,1.4999999999999999E-001,3.9999988479569271E-001,0.0000000000000000E+000,7.0999915453598961E-002
0.008,1.4999999999999999E-001,3.9999987004741400E-001,0.0000000000000000E+000,8.3007163822052255E-002
0.009,1.4999999999999999E-001,3.9999985181059605E-001,0.0000000000000000E+000,9.5795598238462468E-002
0.0100001,1.4999999999999999E-001,3.9999982939463041E-001,0.0000000000000000E+000,1.0948698757423919E-001
0.0110001,1.4999999999999999E-001,3.9999980195819118E-001,0.0000000000000000E+000,1.2420743879269495E-001
0.0120001,1.4999999999999999E-001,3.9999976846400009E-001,0.0000000000000000E+000,1.4009680375290751E-001
0.0130001,1.4999999999999999E-001,3.9999972764822511E-001,0.0000000000000000E+000,1.5730461091203968E-001
0.0140001,1.4999999999999999E-001,3.9999967797077440E-001,0.0000000000000000E+000,1.7599279359385195E-001
0.0150001,1.4999999999999999E-001,3.9999961755718716E-001,0.0000000000000000E+000,1.9633721287111791E-001
0.0160001,1.4999999999999999E-001,3.9999954412791017E-001,0.0000000000000000E+000,2.1852931115197366E-001
0.0170001,1.4999999999999999E-001,3.9999945491229150E-001,0.0000000000000000E+000,2.4277791190637610E-001
0.0180001,1.4999999999999999E-001,3.9999934654404667E-001,0.0000000000000000E+000,2.6931118230170309E-001
0.0190001,1.4999999999999999E-001,3.9999921493425705E-001,0.0000000000000000E+000,2.9837877699280319E-001
0.0200001,1.4999999999999999E-001,3.9999905511710843E-001,0.0000000000000000E+000,3.3025418294058873E-001
0.0210001,1.4999999999999999E-001,3.9999886106255622E-001,0.0000000000000000E+000,3.6523728692345564E-001
0.0220001,1.4999999999999999E-001,3.9999862544885223E-001,0.0000000000000000E+000,4.0365718936548667E-001
0.0230001,1.4999999999999999E-001,3.9999833938636042E-001,0.0000000000000000E+000,4.4587529024159195E-001
0.0240001,1.4999999999999999E-001,3.9999799208225340E-001,0.0000000000000000E+000,4.9228867513688229E-001
0.0250001,1.4999999999999999E-001,3.9999757043345852E-001,0.0000000000000000E+000,5.4333383203698715E-001
0.0260001,1.4999999999999999E-001,3.9999705853252354E-001,0.0000000000000000E+000,5.9949073210356341E-001
0.0270001,1.4999999999999999E-001,3.9999643706779942E-001,0.0000000000000000E+000,6.6128731053303313E-001
0.0280001,1.4999999999999999E-001,3.9999568259537410E-001,0.0000000000000000E+000,7.2930438658448338E-001
0.0290001,1.4999999999999999E-001,3.9999476665537870E-001,0.0000000000000000E+000,8.0418106495654007E-001
0.0300001,1.4999999999999999E-001,3.9999365469946235E-001,0.0000000000000000E+000,8.8662066383477955E-001
0.0310001,1.4999999999999999E-001,3.9999230478917458E-001,0.0000000000000000E+000,9.7739721803284285E-001
0.0320001,1.4999999999999999E-001,3.9999066601644417E-001,0.0000000000000000E+000,1.0773626085881185E+000
0.0330001,1.4999999999999999E-001,3.9998867658700654E-001,0.0000000000000000E+000,1.1874543727464322E+000
0.0340001,1.4999999999999999E-001,3.9998626149512206E-001,0.0000000000000000E+000,1.3087042502918467E+000
0.0350001,1.4999999999999999E-001,3.9998332970282291E-001,0.0000000000000000E+000,1.4422475231844880E+000
0.036,1.4999999999999999E-001,3.9997977111019511E-001,0.0000000000000000E+000,1.5893177747946519E+000
0.037,1.4999999999999999E-001,3.9997545092443476E-001,0.0000000000000000E+000,1.7513181399672650E+000
0.038,1.4999999999999999E-001,3.9997020674601158E-001,0.0000000000000000E+000,1.9297453054910398E+000
